nume_actiune,timestamp
inregistreaza_client,2026-06-04T23:05:44.873804325
adauga_proprietate,2026-06-04T23:05:44.882616725
adauga_anunt,2026-06-04T23:05:44.893848345
programeaza_vizionare,2026-06-04T23:05:44.912081952
schimba_status_vizionare,2026-06-04T23:05:44.923883575
incheie_contract,2026-06-04T23:05:44.925089500
adauga_proprietate_favorite,2026-06-04T23:05:44.962207523
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-04T23:05:44.972117139
adauga_agentie_imobiliara,2026-06-04T23:07:27.985459874
adauga_agentie_imobiliara,2026-06-04T23:07:28.003857789
inregistreaza_agent_imobiliar,2026-06-04T23:07:28.004373056
inregistreaza_agent_imobiliar,2026-06-04T23:07:28.005035471
inregistreaza_agent_imobiliar,2026-06-04T23:07:28.005515561
inregistreaza_client,2026-06-04T23:07:28.005956136
inregistreaza_client,2026-06-04T23:07:28.006685717
inregistreaza_client,2026-06-04T23:07:28.007009249
adauga_proprietate,2026-06-04T23:07:28.007355009
adauga_proprietate,2026-06-04T23:07:28.009521263
adauga_proprietate,2026-06-04T23:07:28.010199049
adauga_proprietate,2026-06-04T23:07:28.011017754
adauga_anunt,2026-06-04T23:07:28.011736469
adauga_anunt,2026-06-04T23:07:28.012376808
adauga_anunt,2026-06-04T23:07:28.012950123
adauga_anunt,2026-06-04T23:07:28.013507236
programeaza_vizionare,2026-06-04T23:07:28.014039420
programeaza_vizionare,2026-06-04T23:07:28.014870798
programeaza_vizionare,2026-06-04T23:07:28.015425858
incheie_contract,2026-06-04T23:07:28.016148051
incheie_contract,2026-06-04T23:07:28.017641359
adauga_proprietate_favorite,2026-06-04T23:07:28.019544083
adauga_proprietate_favorite,2026-06-04T23:07:28.021626026
adauga_proprietate_favorite,2026-06-04T23:07:28.022293174
adauga_proprietate_favorite,2026-06-04T23:07:28.022864681
adauga_agentie_imobiliara,2026-06-04T23:07:28.023496137
inregistreaza_agent_imobiliar,2026-06-04T23:07:28.034103466
inregistreaza_client,2026-06-04T23:07:28.041822011
adauga_proprietate,2026-06-04T23:07:28.049360277
adauga_anunt,2026-06-04T23:07:28.057287749
programeaza_vizionare,2026-06-04T23:07:28.069683894
schimba_status_vizionare,2026-06-04T23:07:28.079927937
incheie_contract,2026-06-04T23:07:28.080843961
adauga_proprietate_favorite,2026-06-04T23:07:28.090134749
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-04T23:07:28.095548839
adauga_agentie_imobiliara,2026-06-04T23:19:08.170929828
adauga_agentie_imobiliara,2026-06-04T23:19:08.190574774
inregistreaza_agent_imobiliar,2026-06-04T23:19:08.191116700
inregistreaza_agent_imobiliar,2026-06-04T23:19:08.191816526
inregistreaza_agent_imobiliar,2026-06-04T23:19:08.192346761
inregistreaza_client,2026-06-04T23:19:08.192776759
inregistreaza_client,2026-06-04T23:19:08.193649984
inregistreaza_client,2026-06-04T23:19:08.194025815
adauga_proprietate,2026-06-04T23:19:08.194473537
adauga_proprietate,2026-06-04T23:19:08.196688812
adauga_proprietate,2026-06-04T23:19:08.197360885
adauga_proprietate,2026-06-04T23:19:08.198004205
adauga_anunt,2026-06-04T23:19:08.198803730
adauga_anunt,2026-06-04T23:19:08.199617518
adauga_anunt,2026-06-04T23:19:08.200071486
adauga_anunt,2026-06-04T23:19:08.200484869
programeaza_vizionare,2026-06-04T23:19:08.201045683
programeaza_vizionare,2026-06-04T23:19:08.201810477
programeaza_vizionare,2026-06-04T23:19:08.202738409
incheie_contract,2026-06-04T23:19:08.203250074
incheie_contract,2026-06-04T23:19:08.204312251
adauga_proprietate_favorite,2026-06-04T23:19:08.206155050
adauga_proprietate_favorite,2026-06-04T23:19:08.207617372
adauga_proprietate_favorite,2026-06-04T23:19:08.208384
adauga_proprietate_favorite,2026-06-04T23:19:08.208957043
adauga_agentie_imobiliara,2026-06-04T23:19:08.209695257
inregistreaza_agent_imobiliar,2026-06-04T23:19:08.220549509
inregistreaza_client,2026-06-04T23:19:08.230759737
adauga_proprietate,2026-06-04T23:19:08.239787344
adauga_anunt,2026-06-04T23:19:08.250335708
programeaza_vizionare,2026-06-04T23:19:08.265902960
schimba_status_vizionare,2026-06-04T23:19:08.275783532
incheie_contract,2026-06-04T23:19:08.276586050
adauga_proprietate_favorite,2026-06-04T23:19:08.286783106
cauta_proprietati_dupa_oras_buget_tranzactie,2026-06-04T23:19:08.292440099
